regioncode,year,GDP_SAR_baseline,GDP_SAR_scenario
ABA,2025,57715016335.68834,72143770419.61043
ABA,2026,58764178177.75817,73455222722.19771
ABA,2027,59832072548.29192,74790090685.36491
ABA,2028,60919033919.69518,76148792399.61897
ABA,2029,62025402716.02367,77531753395.02959
ABA,2030,63151525467.43835,78939406834.29794
AHU,2025,56642246511.235466,56642246511.235466
AHU,2026,57671907203.6628,57671907203.6628
AHU,2027,58719952234.279625,58719952234.279625
AHU,2028,59786709866.94138,59786709866.94138
AHU,2029,60872514190.763885,60872514190.763885
AHU,2030,61977705290.676765,61977705290.676765
AJA,2025,78526750854.96907,78526750854.96907
AJA,2026,79954234990.68874,79954234990.68874
AJA,2027,81407206510.67204,81407206510.67204
AJA,2028,82886120496.31267,82886120496.31267
AJA,2029,84391440125.20628,84391440125.20628
AJA,2030,85923636879.35117,85923636879.35117
AMA,2025,215412179940.72357,269265224925.90448
AMA,2026,219328010741.69824,274160013427.1228
AMA,2027,223313757767.28027,279142197209.10034
AMA,2028,227370669339.55627,284213336674.4454
AMA,2029,231500016095.0003,289375020118.75037
AMA,2030,235703091331.4966,294628864164.3708
AQA,2025,182799977386.51483,159949980213.20044
AQA,2026,186122973256.07584,162857601599.06635
AQA,2027,189505300411.98843,165817137860.4899
AQA,2028,192948018197.0499,168829515922.41867
AQA,2029,196452204889.0441,171895679277.9136
AQA,2030,200018957979.10388,175016588231.71588
ARI,2025,1076202683789.0795,538101341894.53973
ARI,2026,1095766236927.5409,547883118463.77045
ARI,2027,1115679092551.3916,557839546275.6958
ARI,2028,1135947487409.3782,567973743704.6891
ARI,2029,1156577769662.0063,578288884831.0032
ARI,2030,1177576400498.1282,588788200249.0641
ASH,2025,616198984856.1543,539174111749.13495
ASH,2026,627400445119.5297,548975389479.58844
ASH,2027,638801904691.0839,558951666604.6984
ASH,2028,650406934589.7877,569106067766.0642
ASH,2029,662219169509.9948,579441773321.2455
ASH,2030,674242309071.6464,589962020437.6906
ASI,2025,264974145641.6593,231852377436.4519
ASI,2026,269790929543.07693,236067063350.19232
ASI,2027,274693715975.64508,240357001478.68945
ASI,2028,279684040480.60706,244723535420.5312
ASI,2029,284763466020.3097,249168032767.77097
ASI,2030,289933583469.40125,253691885535.72607
HAI,2025,108778859787.27794,95181502313.8682
HAI,2026,110756276342.38646,96911741799.58815
HAI,2027,112768999184.59213,98672874286.51811
HAI,2028,114817658718.99455,100465451379.12022
HAI,2029,116902896574.23007,102290034502.45132
HAI,2030,119025365846.89153,104147195116.03009
JAZ,2025,186876502713.04794,186876502713.04794
JAZ,2026,190273602930.44266,190273602930.44266
JAZ,2027,193731357584.80066,193731357584.80066
JAZ,2028,197250849585.65952,197250849585.65952
JAZ,2029,200833181291.76205,200833181291.76205
JAZ,2030,204479474654.52698,204479474654.52698
MAK,2025,878813036852.0337,1757626073704.0674
MAK,2026,894788378462.0806,1789576756924.1611
MAK,2027,911048955989.707,1822097911979.414
MAK,2028,927599862139.5403,1855199724279.0806
MAK,2029,944446280777.003,1888892561554.006
MAK,2030,961593488123.6794,1923186976247.359
NAJ,2025,69300930396.92313,60638314097.30775
NAJ,2026,70560704650.1279,61740616568.86191
NAJ,2027,71842971869.36742,62862600385.69649
NAJ,2028,73148133662.36035,64004616954.56531
NAJ,2029,74476598802.3603,65167023952.06526
NAJ,2030,75828783369.2874,66350185448.12647
TAB,2025,89683556980.94945,112104446226.18681
TAB,2026,91313853075.5344,114142316344.41798
TAB,2027,92973257716.03058,116216572145.03822
TAB,2028,94662290622.36177,118327863277.9522
TAB,2029,96381480801.82578,120476851002.28221
TAB,2030,98131366712.38818,122664208390.48523
